epoch: 1, lr_model: 2.74e-04, lr_wav2vec: 1.00e-05 - train loss: 2.60e+02 - valid loss: 2.15e+02, valid ACC: 5.57e-01, valid BLEU: 1.03e-01
epoch: 2, lr_model: 1.94e-04, lr_wav2vec: 1.00e-05 - train loss: 2.36e+02 - valid loss: 1.97e+02, valid ACC: 6.41e-01, valid BLEU: 1.55e-01
epoch: 3, lr_model: 1.58e-04, lr_wav2vec: 9.80e-06 - train loss: 2.20e+02 - valid loss: 1.91e+02, valid ACC: 6.69e-01, valid BLEU: 4.94e-01
epoch: 4, lr_model: 1.37e-04, lr_wav2vec: 9.60e-06 - train loss: 2.13e+02 - valid loss: 1.88e+02, valid ACC: 6.84e-01, valid BLEU: 2.14e-01
epoch: 5, lr_model: 1.22e-04, lr_wav2vec: 9.41e-06 - train loss: 2.08e+02 - valid loss: 1.86e+02, valid ACC: 6.91e-01, valid BLEU: 4.19e-01
epoch: 6, lr_model: 1.12e-04, lr_wav2vec: 9.22e-06 - train loss: 2.05e+02 - valid loss: 1.85e+02, valid ACC: 6.95e-01, valid BLEU: 1.16e-01
epoch: 7, lr_model: 1.03e-04, lr_wav2vec: 9.04e-06 - train loss: 2.03e+02 - valid loss: 1.84e+02, valid ACC: 6.98e-01, valid BLEU: 1.49e-01
epoch: 8, lr_model: 9.68e-05, lr_wav2vec: 8.86e-06 - train loss: 2.01e+02 - valid loss: 1.83e+02, valid ACC: 7.01e-01, valid BLEU: 2.87e-01
epoch: 9, lr_model: 9.13e-05, lr_wav2vec: 8.68e-06 - train loss: 2.00e+02 - valid loss: 1.83e+02, valid ACC: 7.04e-01, valid BLEU: 1.37e-01
epoch: 10, lr_model: 8.66e-05, lr_wav2vec: 8.51e-06 - train loss: 1.98e+02 - valid loss: 1.83e+02, valid ACC: 7.04e-01, valid BLEU: 1.14e-01
epoch: 11, lr_model: 8.25e-05, lr_wav2vec: 8.34e-06 - train loss: 1.97e+02 - valid loss: 1.82e+02, valid ACC: 7.08e-01, valid BLEU: 4.73e-01
epoch: 12, lr_model: 7.90e-05, lr_wav2vec: 8.17e-06 - train loss: 1.96e+02 - valid loss: 1.83e+02, valid ACC: 7.06e-01, valid BLEU: 3.67e-01
epoch: 13, lr_model: 7.59e-05, lr_wav2vec: 8.01e-06 - train loss: 1.95e+02 - valid loss: 1.83e+02, valid ACC: 7.07e-01, valid BLEU: 8.45e-01
epoch: 14, lr_model: 7.32e-05, lr_wav2vec: 7.85e-06 - train loss: 1.94e+02 - valid loss: 1.83e+02, valid ACC: 7.07e-01, valid BLEU: 5.62e-01
epoch: 15, lr_model: 7.07e-05, lr_wav2vec: 7.69e-06 - train loss: 1.93e+02 - valid loss: 1.83e+02, valid ACC: 7.09e-01, valid BLEU: 2.05e-01
epoch: 16, lr_model: 6.84e-05, lr_wav2vec: 7.54e-06 - train loss: 1.92e+02 - valid loss: 1.83e+02, valid ACC: 7.07e-01, valid BLEU: 3.21e-01
epoch: 17, lr_model: 6.64e-05, lr_wav2vec: 7.54e-06 - train loss: 1.92e+02 - valid loss: 1.83e+02, valid ACC: 7.07e-01, valid BLEU: 3.19e-01
epoch: 18, lr_model: 6.45e-05, lr_wav2vec: 7.39e-06 - train loss: 1.91e+02 - valid loss: 1.83e+02, valid ACC: 7.08e-01, valid BLEU: 1.51e-01
epoch: 19, lr_model: 6.28e-05, lr_wav2vec: 7.24e-06 - train loss: 1.90e+02 - valid loss: 1.83e+02, valid ACC: 7.06e-01, valid BLEU: 4.93e-01
epoch: 20, lr_model: 6.12e-05, lr_wav2vec: 7.09e-06 - train loss: 1.90e+02 - valid loss: 1.83e+02, valid ACC: 7.07e-01, valid BLEU: 3.16e-01
epoch: 21, lr_model: 5.97e-05, lr_wav2vec: 6.95e-06 - train loss: 1.89e+02 - valid loss: 1.84e+02, valid ACC: 7.08e-01, valid BLEU: 2.94e-01
epoch: 22, lr_model: 5.84e-05, lr_wav2vec: 6.81e-06 - train loss: 1.88e+02 - valid loss: 1.84e+02, valid ACC: 7.07e-01, valid BLEU: 2.93e-01
epoch: 23, lr_model: 5.71e-05, lr_wav2vec: 6.68e-06 - train loss: 1.88e+02 - valid loss: 1.84e+02, valid ACC: 7.07e-01, valid BLEU: 1.25e-01
epoch: 24, lr_model: 5.59e-05, lr_wav2vec: 6.54e-06 - train loss: 1.87e+02 - valid loss: 1.84e+02, valid ACC: 7.08e-01, valid BLEU: 1.61e-01
epoch: 25, lr_model: 5.48e-05, lr_wav2vec: 6.41e-06 - train loss: 1.87e+02 - valid loss: 1.84e+02, valid ACC: 7.06e-01, valid BLEU: 1.99e-01
epoch: 26, lr_model: 5.37e-05, lr_wav2vec: 6.41e-06 - train loss: 1.86e+02 - valid loss: 1.85e+02, valid ACC: 7.06e-01, valid BLEU: 2.12
epoch: 27, lr_model: 5.27e-05, lr_wav2vec: 6.28e-06 - train loss: 1.86e+02 - valid loss: 1.85e+02, valid ACC: 7.07e-01, valid BLEU: 1.26
epoch: 28, lr_model: 5.17e-05, lr_wav2vec: 6.16e-06 - train loss: 1.86e+02 - valid loss: 1.85e+02, valid ACC: 7.06e-01, valid BLEU: 5.06e-01
epoch: 29, lr_model: 5.08e-05, lr_wav2vec: 6.03e-06 - train loss: 1.85e+02 - valid loss: 1.85e+02, valid ACC: 7.05e-01, valid BLEU: 2.34e-01
epoch: 30, lr_model: 5.00e-05, lr_wav2vec: 5.91e-06 - train loss: 1.85e+02 - valid loss: 1.85e+02, valid ACC: 7.05e-01, valid BLEU: 4.49e-01
Epoch loaded: 26 - test loss: 1.91e+02, test BLEU: 23.45
Epoch loaded: 26 - test loss: 1.95e+02, test BLEU: 23.60
